BTCUSDT
Opentime;Open;High;Low;Close;Volume;CloseTime
1606777200000;19500.00000000;19511.00000000;19450.43000000;19482.68000000;570.97087900;1606778099999
1606778100000;19482.68000000;19620.90000000;19482.68000000;19619.55000000;1796.54618100;1606778999999
1606779000000;19619.55000000;19695.46000000;19594.46000000;19691.87000000;1513.73494000;1606779899999
1606779900000;19691.87000000;19747.05000000;19625.05000000;19695.87000000;1532.14664800;1606780799999
1606780800000;19695.87000000;19720.00000000;19505.90000000;19567.99000000;1756.78618100;1606781699999
1606781700000;19566.71000000;19716.92000000;19546.63000000;19681.41000000;1219.66901300;1606782599999
1606782600000;19681.41000000;19691.56000000;19561.38000000;19586.60000000;713.33750200;1606783499999
1606783500000;19586.60000000;19600.00000000;19479.80000000;19565.47000000;880.56882200;1606784399999
1606784400000;19565.47000000;19639.99000000;19500.38000000;19511.98000000;734.21206300;1606785299999
1606785300000;19511.99000000;19583.88000000;19480.00000000;19501.91000000;498.60070800;1606786199999
1606786200000;19501.92000000;19592.38000000;19433.15000000;19585.66000000;696.28085600;1606787099999
1606787100000;19585.65000000;19639.21000000;19570.19000000;19605.75000000;773.36560800;1606787999999
1606788000000;19605.75000000;19655.00000000;19548.57000000;19619.99000000;600.50538400;1606788899999
1606788900000;19619.99000000;19679.30000000;19562.49000000;19634.88000000;639.75370500;1606789799999
1606789800000;19634.89000000;19670.00000000;19579.51000000;19665.32000000;520.30412200;1606790699999
1606790700000;19665.33000000;19704.93000000;19621.30000000;19680.95000000;647.66676700;1606791599999
1606791600000;19680.96000000;19682.77000000;19570.00000000;19601.22000000;632.65157400;1606792499999
1606792500000;19600.97000000;19615.83000000;19535.00000000;19565.32000000;576.67495500;1606793399999
1606793400000;19563.16000000;19577.99000000;19518.74000000;19570.00000000;579.65889200;1606794299999
1606794300000;19569.99000000;19590.07000000;19340.00000000;19419.74000000;1100.86318300;1606795199999
1606795200000;19419.73000000;19527.02000000;19349.77000000;19507.42000000;972.91835500;1606796099999
1606796100000;19507.43000000;19512.68000000;19429.56000000;19437.35000000;822.84817800;1606796999999
1606797000000;19437.35000000;19465.02000000;19344.92000000;19455.92000000;908.32742900;1606797899999
1606797900000;19455.92000000;19495.71000000;19347.60000000;19354.31000000;696.76397900;1606798799999
1606798800000;19352.64000000;19398.51000000;19281.38000000;19388.04000000;851.14592500;1606799699999
1606799700000;19388.05000000;19440.00000000;19350.00000000;19438.73000000;566.55595300;1606800599999
1606800600000;19438.73000000;19448.00000000;19386.46000000;19407.57000000;583.30074400;1606801499999
1606801500000;19407.57000000;19502.54000000;19406.01000000;19483.73000000;619.88117000;1606802399999
1606802400000;19483.73000000;19517.94000000;19444.48000000;19481.54000000;536.08361500;1606803299999
1606803300000;19480.89000000;19483.24000000;19432.47000000;19465.65000000;521.81674400;1606804199999
1606804200000;19465.65000000;19467.73000000;19360.77000000;19373.90000000;1097.22288500;1606805099999
1606805100000;19373.90000000;19404.74000000;19309.87000000;19338.34000000;974.65308500;1606805999999
1606806000000;19338.33000000;19470.00000000;19300.00000000;19443.19000000;895.67531500;1606806899999
1606806900000;19443.19000000;19489.95000000;19428.31000000;19447.99000000;699.12292700;1606807799999
1606807800000;19447.83000000;19478.50000000;19410.00000000;19420.67000000;531.66579000;1606808699999
1606808700000;19420.67000000;19546.81000000;19380.00000000;19515.63000000;882.76115000;1606809599999
1606809600000;19515.62000000;19555.00000000;19501.30000000;19530.11000000;831.46480600;1606810499999
1606810500000;19530.11000000;19540.12000000;19477.82000000;19525.56000000;735.07964000;1606811399999
1606811400000;19524.96000000;19567.00000000;19461.16000000;19483.06000000;862.43320100;1606812299999
1606812300000;19483.61000000;19516.00000000;19441.19000000;19466.99000000;714.19531400;1606813199999
1606813200000;19467.00000000;19517.60000000;19450.79000000;19456.73000000;463.08410700;1606814099999
1606814100000;19456.79000000;19534.12000000;19435.30000000;19449.71000000;745.64175400;1606814999999
1606815000000;19449.99000000;19516.22000000;19426.96000000;19490.86000000;818.55916000;1606815899999
1606815900000;19490.86000000;19570.00000000;19487.89000000;19565.00000000;796.98367400;1606816799999
1606816800000;19564.99000000;19739.24000000;19558.77000000;19723.19000000;3127.68061900;1606817699999
1606817700000;19723.18000000;19770.00000000;19635.14000000;19758.00000000;1695.26132100;1606818599999
1606818600000;19758.01000000;19760.00000000;19666.00000000;19759.99000000;1149.58208700;1606819499999
1606819500000;19760.00000000;19800.00000000;19725.09000000;19739.51000000;1667.73674000;1606820399999
1606820400000;19739.51000000;19888.00000000;19730.29000000;19862.94000000;2835.90814800;1606821299999
1606821300000;19862.94000000;19887.97000000;18886.00000000;19325.51000000;6169.07112900;1606822199999
1606822200000;19329.53000000;19531.58000000;19236.04000000;19499.64000000;3316.91818600;1606823099999
1606823100000;19500.50000000;19566.95000000;19375.00000000;19425.00000000;2234.75968800;1606823999999
1606824000000;19425.40000000;19482.01000000;19310.00000000;19329.41000000;1943.52676300;1606824899999
1606824900000;19329.40000000;19367.27000000;18600.00000000;18703.18000000;5238.22878000;1606825799999
1606825800000;18692.55000000;18990.00000000;18399.99000000;18889.51000000;5810.25938500;1606826699999
1606826700000;18892.20000000;18937.95000000;18499.00000000;18551.35000000;4562.23214200;1606827599999
1606827600000;18550.25000000;18581.46000000;18001.12000000;18181.46000000;6578.17614600;1606828499999
1606828500000;18174.09000000;18756.00000000;18085.18000000;18716.83000000;3769.15082800;1606829399999
1606829400000;18722.94000000;18844.15000000;18650.02000000;18839.24000000;2650.59346300;1606830299999
1606830300000;18839.23000000;18842.36000000;18700.85000000;18759.73000000;1774.85720200;1606831199999
1606831200000;18759.74000000;18946.89000000;18651.00000000;18937.84000000;1798.62945600;1606832099999
1606832100000;18938.79000000;18950.87000000;18835.00000000;18847.96000000;1264.74225400;1606832999999
1606833000000;18847.95000000;19330.00000000;18821.14000000;19299.26000000;2798.52057500;1606833899999
1606833900000;19299.83000000;19364.82000000;19189.09000000;19285.31000000;1959.15490400;1606834799999
1606834800000;19285.30000000;19489.30000000;19215.00000000;19374.55000000;2243.74748400;1606835699999
1606835700000;19374.56000000;19420.00000000;19237.07000000;19414.99000000;1639.69449200;1606836599999
1606836600000;19414.99000000;19419.03000000;19213.23000000;19228.73000000;1425.47747700;1606837499999
1606837500000;19228.73000000;19344.14000000;19147.60000000;19263.37000000;1529.24326000;1606838399999
1606838400000;19263.36000000;19325.83000000;19055.00000000;19105.61000000;1533.61844000;1606839299999
1606839300000;19105.61000000;19165.48000000;18938.22000000;18987.95000000;2160.05382700;1606840199999
1606840200000;18987.95000000;19146.61000000;18971.77000000;19106.89000000;1272.45644400;1606841099999
1606841100000;19106.89000000;19167.64000000;19020.00000000;19058.80000000;723.88832800;1606841999999
1606842000000;19058.80000000;19086.95000000;18611.88000000;18819.83000000;2917.97374200;1606842899999
1606842900000;18819.83000000;18952.27000000;18750.11000000;18933.51000000;1605.32829600;1606843799999
1606843800000;18933.51000000;18945.50000000;18794.96000000;18810.08000000;912.38558300;1606844699999
1606844700000;18811.78000000;19084.00000000;18740.00000000;19058.40000000;1090.34136200;1606845599999
1606845600000;19058.40000000;19074.64000000;18873.97000000;18915.78000000;765.19620300;1606846499999
1606846500000;18915.77000000;18965.24000000;18841.12000000;18872.83000000;473.94316300;1606847399999
1606847400000;18873.06000000;18988.14000000;18806.98000000;18868.15000000;764.11014200;1606848299999
1606848300000;18868.31000000;18878.68000000;18693.37000000;18738.82000000;1313.25640300;1606849199999
1606849200000;18738.83000000;18911.46000000;18720.48000000;18887.13000000;684.58246900;1606850099999
1606850100000;18887.13000000;18979.99000000;18855.19000000;18902.11000000;699.78642300;1606850999999
1606851000000;18902.10000000;19084.48000000;18902.10000000;18982.47000000;752.58667800;1606851899999
1606851900000;18982.47000000;19135.19000000;18950.11000000;19069.79000000;817.69580500;1606852799999
1606852800000;19069.79000000;19150.00000000;18938.76000000;18944.04000000;957.46397000;1606853699999
1606853700000;18945.53000000;18990.53000000;18911.39000000;18986.44000000;462.66355300;1606854599999
1606854600000;18986.43000000;18986.43000000;18862.00000000;18906.46000000;467.11482300;1606855499999
1606855500000;18906.46000000;19030.00000000;18866.82000000;19024.32000000;564.17727800;1606856399999
1606856400000;19024.33000000;19082.00000000;18936.61000000;19054.47000000;546.12816400;1606857299999
1606857300000;19053.92000000;19162.53000000;19048.38000000;19161.34000000;515.44279400;1606858199999
1606858200000;19161.33000000;19211.00000000;19072.70000000;19109.66000000;781.84416000;1606859099999
1606859100000;19109.65000000;19149.97000000;19025.88000000;19038.39000000;431.86345200;1606859999999
1606860000000;19038.39000000;19156.72000000;19029.20000000;19109.56000000;356.33535300;1606860899999
1606860900000;19109.56000000;19155.50000000;19066.14000000;19077.51000000;211.54377500;1606861799999
1606861800000;19077.51000000;19113.40000000;18900.00000000;18945.01000000;640.55685500;1606862699999
1606862700000;18945.00000000;18979.78000000;18830.18000000;18895.00000000;511.08681300;1606863599999
1606863600000;18895.01000000;18943.26000000;18742.12000000;18841.33000000;1065.94040900;1606864499999
1606864500000;18841.74000000;18890.31000000;18730.36000000;18730.89000000;607.28438400;1606865399999
1606865400000;18730.90000000;18852.12000000;18725.00000000;18800.89000000;580.64719000;1606866299999
1606866300000;18800.89000000;18872.11000000;18753.04000000;18764.96000000;629.22960700;1606867199999
1606867200000;18764.96000000;18765.22000000;18433.00000000;18620.28000000;2331.89022200;1606868099999
1606868100000;18620.27000000;18783.50000000;18557.64000000;18770.29000000;907.61432500;1606868999999
1606869000000;18769.01000000;18856.33000000;18765.59000000;18830.18000000;645.76240800;1606869899999
1606869900000;18830.17000000;18877.92000000;18784.11000000;18836.51000000;486.89536200;1606870799999
1606870800000;18836.50000000;18836.50000000;18703.00000000;18735.77000000;571.58889600;1606871699999
1606871700000;18735.77000000;18808.66000000;18725.50000000;18777.52000000;540.76925900;1606872599999
1606872600000;18777.52000000;18906.22000000;18765.00000000;18880.00000000;655.88484800;1606873499999
1606873500000;18879.99000000;18972.12000000;18841.43000000;18854.01000000;736.73601600;1606874399999
1606874400000;18854.01000000;18863.73000000;18771.42000000;18823.85000000;422.14999400;1606875299999
1606875300000;18824.40000000;18846.00000000;18759.99000000;18760.00000000;314.46348400;1606876199999
1606876200000;18760.00000000;18782.36000000;18661.29000000;18695.74000000;456.77295600;1606877099999
1606877100000;18695.74000000;18745.00000000;18639.86000000;18676.40000000;454.15901800;1606877999999
1606878000000;18676.39000000;18788.32000000;18634.89000000;18654.54000000;837.71539700;1606878899999
1606878900000;18654.53000000;18655.94000000;18530.00000000;18560.35000000;871.05848100;1606879799999
1606879800000;18560.35000000;18684.55000000;18508.45000000;18658.98000000;711.28731000;1606880699999
1606880700000;18658.99000000;18684.01000000;18506.16000000;18618.25000000;864.60496100;1606881599999
1606881600000;18618.00000000;18700.00000000;18467.33000000;18499.63000000;1168.68864500;1606882499999
1606882500000;18499.62000000;18552.75000000;18330.00000000;18391.46000000;1553.28164500;1606883399999
1606883400000;18391.00000000;18490.49000000;18346.58000000;18469.50000000;977.39114200;1606884299999
1606884300000;18469.50000000;18555.13000000;18456.25000000;18550.96000000;630.73329200;1606885199999
1606885200000;18550.95000000;18643.31000000;18470.44000000;18629.01000000;724.96591500;1606886099999
1606886100000;18629.00000000;18647.23000000;18479.55000000;18495.02000000;690.74932100;1606886999999
1606887000000;18494.73000000;18584.00000000;18465.42000000;18555.32000000;613.96114400;1606887899999
1606887900000;18555.32000000;18660.00000000;18555.31000000;18654.41000000;632.23933200;1606888799999
1606888800000;18654.27000000;18740.00000000;18630.63000000;18718.26000000;742.76144400;1606889699999
1606889700000;18718.26000000;18810.00000000;18717.11000000;18784.06000000;861.03202700;1606890599999
1606890600000;18784.29000000;18894.00000000;18755.75000000;18790.01000000;1147.23878300;1606891499999
1606891500000;18790.00000000;18939.97000000;18732.64000000;18926.66000000;1316.96952300;1606892399999
1606892400000;18924.13000000;18988.00000000;18850.01000000;18879.35000000;1205.04720400;1606893299999
1606893300000;18879.35000000;18938.87000000;18833.00000000;18865.20000000;807.56277500;1606894199999
1606894200000;18865.20000000;18935.64000000;18834.93000000;18895.49000000;786.24494900;1606895099999
1606895100000;18895.48000000;19135.00000000;18859.25000000;19124.48000000;1526.89530800;1606895999999
1606896000000;19124.49000000;19137.88000000;19059.09000000;19072.06000000;925.87130800;1606896899999
