DOTUSDT
Opentime;Open;High;Low;Close;Volume;CloseTime
1613347200000;26.88000000;27.33330000;26.87490000;27.31660000;125467.16000000;1613348999999
1613349000000;27.31670000;27.61000000;27.23240000;27.41000000;116863.83000000;1613350799999
1613350800000;27.41850000;27.43420000;26.87000000;26.87760000;195226.24000000;1613352599999
1613352600000;26.87570000;26.88370000;25.34400000;25.71450000;1096104.92000000;1613354399999
1613354400000;25.72000000;26.08040000;23.15550000;23.93330000;1471310.38000000;1613356199999
1613356200000;23.92830000;25.37500000;23.67530000;25.14840000;1195920.01000000;1613357999999
1613358000000;25.14850000;25.77510000;24.35000000;25.65410000;805418.02000000;1613359799999
1613359800000;25.64750000;25.73720000;24.88800000;25.35070000;580609.10000000;1613361599999
1613361600000;25.34150000;25.34150000;24.67580000;25.01350000;547973.24000000;1613363399999
1613363400000;25.00240000;25.39410000;24.42090000;25.33870000;564004.27000000;1613365199999
1613365200000;25.33860000;25.74000000;25.18550000;25.35000000;360602.06000000;1613366999999
1613367000000;25.35080000;25.79720000;25.14490000;25.72760000;233885.44000000;1613368799999
1613368800000;25.72380000;26.11980000;25.46000000;26.10850000;338342.77000000;1613370599999
1613370600000;26.10200000;26.19770000;25.90130000;25.98850000;237731.63000000;1613372399999
1613372400000;25.98500000;26.40000000;25.90000000;26.27910000;268664.33000000;1613374199999
1613374200000;26.28060000;26.45220000;26.01000000;26.21760000;287127.72000000;1613375999999
1613376000000;26.20830000;26.66320000;26.01930000;26.53000000;398335.37000000;1613377799999
1613377800000;26.53760000;27.06330000;26.53000000;27.04750000;365818.10000000;1613379599999
1613379600000;27.03940000;27.06770000;26.38550000;26.57380000;389726.09000000;1613381399999
1613381400000;26.56210000;26.76110000;26.20000000;26.54340000;257608.40000000;1613383199999
1613383200000;26.54320000;26.70000000;26.35410000;26.52010000;215209.50000000;1613384999999
1613385000000;26.51320000;27.09940000;26.30000000;26.99000000;480603.31000000;1613386799999
1613386800000;26.98580000;27.41130000;26.95070000;27.37980000;446470.66000000;1613388599999
1613388600000;27.37870000;27.40610000;27.15380000;27.32690000;176777.73000000;1613390399999
1613390400000;27.32750000;27.62350000;26.82460000;27.60860000;373549.24000000;1613392199999
1613392200000;27.62330000;28.27000000;27.34780000;28.25000000;505080.48000000;1613393999999
1613394000000;28.24570000;28.51280000;28.16860000;28.37310000;416976.68000000;1613395799999
1613395800000;28.37020000;28.43750000;27.99400000;28.16620000;356344.37000000;1613397599999
1613397600000;28.16620000;28.68000000;28.16620000;28.48350000;326009.56000000;1613399399999
1613399400000;28.49780000;28.53630000;27.32190000;27.41580000;572377.22000000;1613401199999
1613401200000;27.39400000;28.81630000;27.39400000;28.81600000;580406.08000000;1613402999999
1613403000000;28.81630000;29.33330000;28.71140000;29.31410000;739833.90000000;1613404799999
1613404800000;29.31310000;29.45000000;28.50000000;28.89990000;669566.11000000;1613406599999
1613406600000;28.89950000;29.53650000;28.85790000;29.09690000;544140.44000000;1613408399999
1613408400000;29.11180000;29.23850000;28.78080000;28.81930000;236147.42000000;1613410199999
1613410200000;28.82350000;29.06670000;28.70710000;28.97490000;157357.45000000;1613411999999
1613412000000;28.98070000;29.31990000;28.94190000;28.94410000;188718.26000000;1613413799999
1613413800000;28.95950000;29.09610000;28.68010000;28.68030000;165032.06000000;1613415599999
1613415600000;28.68000000;29.20070000;28.67420000;28.85340000;221862.24000000;1613417399999
1613417400000;28.85330000;29.04000000;28.73060000;28.95530000;129517.85000000;1613419199999
1613419200000;28.96340000;29.33360000;28.92590000;29.29510000;312865.57000000;1613420999999
1613421000000;29.29520000;29.32990000;28.90960000;28.93430000;261473.71000000;1613422799999
1613422800000;28.93470000;29.06540000;28.16000000;28.16000000;340112.31000000;1613424599999
1613424600000;28.16570000;28.42720000;27.61970000;27.70410000;552823.42000000;1613426399999
1613426400000;27.70380000;28.17600000;27.15010000;27.77480000;551637.28000000;1613428199999
1613428200000;27.78340000;28.58000000;27.77520000;28.44180000;373001.11000000;1613429999999
1613430000000;28.47160000;28.54650000;27.89620000;27.97660000;245692.25000000;1613431799999
1613431800000;27.98030000;28.07650000;27.40550000;27.80210000;295992.14000000;1613433599999
1613433600000;27.82010000;27.87270000;26.80020000;27.30300000;572936.27000000;1613435399999
1613435400000;27.31370000;28.09650000;26.89010000;28.05710000;623763.72000000;1613437199999
1613437200000;28.05710000;28.77890000;28.02470000;28.49470000;414783.07000000;1613438999999
1613439000000;28.49170000;28.74000000;28.15800000;28.73080000;405984.99000000;1613440799999
1613440800000;28.73080000;28.90270000;28.48340000;28.88150000;259591.05000000;1613442599999
1613442600000;28.88150000;28.91000000;28.57090000;28.80930000;282433.39000000;1613444399999
1613444400000;28.81010000;29.52910000;28.73200000;29.37670000;426979.10000000;1613446199999
1613446200000;29.37670000;29.38790000;28.80900000;28.97820000;335543.99000000;1613447999999
1613448000000;28.99000000;28.99090000;28.32400000;28.70430000;306726.80000000;1613449799999
1613449800000;28.71230000;28.87580000;28.37650000;28.38360000;191557.14000000;1613451599999
1613451600000;28.38360000;28.60100000;28.26160000;28.35930000;167393.83000000;1613453399999
1613453400000;28.35930000;28.80240000;28.20190000;28.77970000;336125.76000000;1613455199999
1613455200000;28.77760000;28.77830000;28.09670000;28.32070000;271257.92000000;1613456999999
1613457000000;28.32070000;28.93060000;28.32070000;28.90460000;356962.52000000;1613458799999
1613458800000;28.90060000;29.05000000;28.67260000;28.75900000;258745.44000000;1613460599999
1613460600000;28.76140000;28.96230000;28.64020000;28.77070000;132262.97000000;1613462399999
1613462400000;28.77640000;30.16990000;28.76120000;30.09220000;885716.86000000;1613464199999
1613464200000;30.09040000;31.06060000;29.89300000;30.83220000;1635806.50000000;1613465999999
1613466000000;30.83260000;30.83930000;30.23680000;30.43720000;670393.66000000;1613467799999
1613467800000;30.43050000;30.73200000;30.06000000;30.54990000;478095.32000000;1613469599999
1613469600000;30.54990000;30.93840000;30.44950000;30.67660000;386203.12000000;1613471399999
1613471400000;30.67640000;30.85330000;30.29600000;30.59270000;263861.71000000;1613473199999
1613473200000;30.60000000;30.62040000;30.19480000;30.25030000;355447.23000000;1613474999999
1613475000000;30.24980000;30.31090000;29.61310000;29.69290000;394228.20000000;1613476799999
1613476800000;29.70000000;30.39420000;29.22500000;29.84000000;817103.01000000;1613478599999
1613478600000;29.85260000;29.99780000;29.30810000;29.72850000;1160289.87000000;1613480399999
1613480400000;29.72860000;30.56300000;29.72860000;30.55990000;321538.21000000;1613482199999
1613482200000;30.55730000;30.58000000;29.70000000;30.09170000;466247.43000000;1613483999999
1613484000000;30.09160000;30.09300000;29.29210000;30.02140000;753387.16000000;1613485799999
1613485800000;30.02400000;30.16520000;29.81770000;29.99220000;263007.90000000;1613487599999
1613487600000;30.00030000;30.77740000;29.95020000;30.48620000;336392.71000000;1613489399999
1613489400000;30.48350000;30.55760000;29.71460000;29.83870000;362119.82000000;1613491199999
1613491200000;29.83390000;30.20000000;29.63000000;29.80000000;433764.53000000;1613492999999
1613493000000;29.80010000;30.30750000;29.31000000;29.34260000;689939.78000000;1613494799999
1613494800000;29.33740000;30.07550000;29.32820000;30.01210000;457687.90000000;1613496599999
1613496600000;30.02150000;30.46000000;29.73170000;30.04250000;400828.06000000;1613498399999
1613498400000;30.04000000;30.11320000;29.35000000;29.76690000;495158.97000000;1613500199999
1613500200000;29.77560000;30.23190000;29.62180000;30.12550000;307296.74000000;1613501999999
1613502000000;30.12540000;30.20010000;29.84160000;29.96000000;224459.29000000;1613503799999
1613503800000;29.97110000;30.18850000;29.65000000;29.81510000;216359.17000000;1613505599999
1613505600000;29.81510000;29.83040000;29.42360000;29.53060000;256229.75000000;1613507399999
1613507400000;29.54240000;29.81590000;29.46270000;29.78880000;224116.91000000;1613509199999
1613509200000;29.79370000;30.02720000;29.52450000;29.74160000;277423.15000000;1613510999999
1613511000000;29.74160000;30.09570000;29.68440000;29.87720000;166747.94000000;1613512799999
1613512800000;29.86990000;29.89800000;29.47900000;29.48820000;163791.03000000;1613514599999
1613514600000;29.48450000;29.78590000;29.43790000;29.65110000;195813.92000000;1613516399999
1613516400000;29.65110000;30.20270000;29.50000000;30.01950000;387516.80000000;1613518199999
1613518200000;30.03060000;30.30000000;29.92380000;30.08320000;280840.32000000;1613519999999
1613520000000;30.08970000;30.50000000;29.89070000;30.17630000;494012.05000000;1613521799999
1613521800000;30.17260000;30.84920000;30.10240000;30.33010000;618026.22000000;1613523599999
1613523600000;30.33130000;30.57940000;29.99850000;30.12330000;499702.50000000;1613525399999
1613525400000;30.13300000;30.44500000;30.09580000;30.34410000;376173.16000000;1613527199999
1613527200000;30.34620000;31.02000000;30.32180000;30.82460000;632654.11000000;1613528999999
1613529000000;30.82470000;31.46310000;30.54390000;31.39990000;419578.80000000;1613530799999
1613530800000;31.39990000;31.82500000;31.03300000;31.34000000;688564.91000000;1613532599999
1613532600000;31.33990000;31.63560000;30.97650000;31.33970000;421100.67000000;1613534399999
1613534400000;31.32650000;31.50000000;30.61100000;30.66530000;445929.41000000;1613536199999
1613536200000;30.64800000;30.81390000;29.94000000;30.22310000;492969.49000000;1613537999999
1613538000000;30.21830000;30.67460000;30.17180000;30.33050000;292839.04000000;1613539799999
1613539800000;30.33940000;30.51440000;29.73560000;30.06110000;409614.35000000;1613541599999
1613541600000;30.05810000;30.45900000;30.00000000;30.18800000;291615.11000000;1613543399999
1613543400000;30.18800000;30.33160000;29.61090000;30.05800000;686584.01000000;1613545199999
1613545200000;30.05450000;30.67820000;29.91960000;30.66930000;448628.91000000;1613546999999
1613547000000;30.66930000;30.86900000;30.37130000;30.58000000;317488.37000000;1613548799999
1613548800000;30.57100000;30.69830000;30.16080000;30.32000000;301259.32000000;1613550599999
1613550600000;30.31780000;30.51430000;30.26430000;30.37360000;203801.94000000;1613552399999
1613552400000;30.37340000;30.63350000;30.34200000;30.60850000;204170.74000000;1613554199999
1613554200000;30.61640000;30.75000000;30.42810000;30.55470000;200506.81000000;1613555999999
1613556000000;30.54400000;31.03410000;30.54190000;30.82920000;296357.36000000;1613557799999
1613557800000;30.82040000;31.02040000;30.64320000;30.65710000;210111.50000000;1613559599999
1613559600000;30.65720000;30.99460000;30.62810000;30.92520000;174997.09000000;1613561399999
1613561400000;30.93000000;31.03890000;30.73330000;30.74200000;186849.59000000;1613563199999
1613563200000;30.73260000;30.84430000;30.50000000;30.70370000;251800.59000000;1613564999999
1613565000000;30.70420000;30.96410000;30.40620000;30.48950000;293961.64000000;1613566799999
1613566800000;30.50180000;30.63690000;30.26870000;30.36580000;214213.96000000;1613568599999
1613568600000;30.36980000;30.54600000;30.21420000;30.43280000;194669.85000000;1613570399999
1613570400000;30.43630000;30.69970000;30.41320000;30.49960000;179230.28000000;1613572199999
1613572200000;30.49930000;30.79710000;30.36640000;30.77690000;190461.55000000;1613573999999
1613574000000;30.77670000;30.96500000;30.57430000;30.66200000;215218.14000000;1613575799999
1613575800000;30.66180000;30.88000000;30.55310000;30.73360000;124688.50000000;1613577599999
1613577600000;30.74280000;30.94900000;30.53100000;30.62950000;189784.75000000;1613579399999
1613579400000;30.63470000;30.97180000;30.60630000;30.94380000;209519.87000000;1613581199999
1613581200000;30.94510000;31.45790000;30.89650000;31.45700000;344706.05000000;1613582999999
1613583000000;31.44600000;32.00000000;31.11110000;31.96820000;482576.12000000;1613584799999
1613584800000;31.96970000;31.96970000;31.32020000;31.53130000;346556.61000000;1613586599999
1613586600000;31.53170000;31.53220000;31.23820000;31.37800000;226786.49000000;1613588399999
1613588400000;31.37800000;31.85000000;31.31240000;31.69930000;190655.36000000;1613590199999
1613590200000;31.68130000;31.83000000;31.41050000;31.76610000;172244.26000000;1613591999999
1613592000000;31.78660000;32.07220000;31.75010000;31.98190000;318242.63000000;1613593799999
1613593800000;31.99470000;32.03910000;31.55520000;31.74480000;240238.88000000;1613595599999
1613595600000;31.74480000;32.40000000;31.70410000;32.26460000;389310.93000000;1613597399999
1613597400000;32.25990000;32.29000000;31.94120000;32.04980000;242320.27000000;1613599199999
1613599200000;32.05000000;32.19980000;31.88840000;31.96760000;128650.30000000;1613600999999
