TRXUSDT
Opentime;Open;High;Low;Close;Volume;CloseTime
1606777200000;0.03239000;0.03240000;0.03223000;0.03230000;21582347.70000000;1606778099999
1606778100000;0.03231000;0.03246000;0.03227000;0.03239000;21967349.30000000;1606778999999
1606779000000;0.03239000;0.03257000;0.03234000;0.03239000;26219891.50000000;1606779899999
1606779900000;0.03239000;0.03244000;0.03231000;0.03236000;22492014.00000000;1606780799999
1606780800000;0.03236000;0.03254000;0.03214000;0.03217000;16464056.40000000;1606781699999
1606781700000;0.03219000;0.03274000;0.03213000;0.03272000;13577355.40000000;1606782599999
1606782600000;0.03273000;0.03279000;0.03231000;0.03233000;23726106.00000000;1606783499999
1606783500000;0.03235000;0.03236000;0.03204000;0.03222000;19689433.80000000;1606784399999
1606784400000;0.03222000;0.03240000;0.03220000;0.03229000;11538930.50000000;1606785299999
1606785300000;0.03229000;0.03239000;0.03215000;0.03231000;10958617.90000000;1606786199999
1606786200000;0.03231000;0.03260000;0.03221000;0.03260000;11957527.60000000;1606787099999
1606787100000;0.03259000;0.03277000;0.03259000;0.03263000;20556903.60000000;1606787999999
1606788000000;0.03263000;0.03295000;0.03261000;0.03286000;21806893.50000000;1606788899999
1606788900000;0.03286000;0.03291000;0.03277000;0.03289000;9966103.90000000;1606789799999
1606789800000;0.03291000;0.03318000;0.03285000;0.03318000;19953274.10000000;1606790699999
1606790700000;0.03318000;0.03321000;0.03303000;0.03307000;20646314.60000000;1606791599999
1606791600000;0.03305000;0.03306000;0.03264000;0.03266000;26669674.20000000;1606792499999
1606792500000;0.03266000;0.03273000;0.03254000;0.03261000;10450402.50000000;1606793399999
1606793400000;0.03261000;0.03282000;0.03261000;0.03281000;9157265.50000000;1606794299999
1606794300000;0.03282000;0.03289000;0.03250000;0.03253000;14431160.20000000;1606795199999
1606795200000;0.03252000;0.03411000;0.03247000;0.03370000;121190524.50000000;1606796099999
1606796100000;0.03369000;0.03400000;0.03339000;0.03394000;74655722.50000000;1606796999999
1606797000000;0.03394000;0.03406000;0.03352000;0.03390000;65218430.70000000;1606797899999
1606797900000;0.03390000;0.03415000;0.03367000;0.03373000;50704029.10000000;1606798799999
1606798800000;0.03373000;0.03392000;0.03359000;0.03385000;31994108.60000000;1606799699999
1606799700000;0.03386000;0.03399000;0.03366000;0.03380000;39013702.90000000;1606800599999
1606800600000;0.03378000;0.03390000;0.03345000;0.03355000;37367132.50000000;1606801499999
1606801500000;0.03354000;0.03372000;0.03345000;0.03358000;24978970.30000000;1606802399999
1606802400000;0.03359000;0.03373000;0.03352000;0.03361000;21822911.50000000;1606803299999
1606803300000;0.03364000;0.03369000;0.03335000;0.03336000;17368900.30000000;1606804199999
1606804200000;0.03336000;0.03346000;0.03317000;0.03335000;50232049.40000000;1606805099999
1606805100000;0.03335000;0.03355000;0.03325000;0.03343000;21181831.70000000;1606805999999
1606806000000;0.03343000;0.03365000;0.03341000;0.03355000;21493918.10000000;1606806899999
1606806900000;0.03355000;0.03400000;0.03354000;0.03399000;15827179.80000000;1606807799999
1606807800000;0.03399000;0.03425000;0.03367000;0.03370000;33628057.40000000;1606808699999
1606808700000;0.03370000;0.03393000;0.03359000;0.03388000;18221980.10000000;1606809599999
1606809600000;0.03388000;0.03391000;0.03359000;0.03370000;13287143.20000000;1606810499999
1606810500000;0.03370000;0.03377000;0.03351000;0.03368000;15278201.40000000;1606811399999
1606811400000;0.03369000;0.03380000;0.03356000;0.03357000;11758585.30000000;1606812299999
1606812300000;0.03358000;0.03364000;0.03347000;0.03355000;10130393.90000000;1606813199999
1606813200000;0.03354000;0.03368000;0.03354000;0.03365000;5289129.10000000;1606814099999
1606814100000;0.03366000;0.03378000;0.03357000;0.03364000;14767729.50000000;1606814999999
1606815000000;0.03363000;0.03364000;0.03344000;0.03352000;13471303.20000000;1606815899999
1606815900000;0.03351000;0.03359000;0.03345000;0.03354000;15021148.60000000;1606816799999
1606816800000;0.03354000;0.03384000;0.03353000;0.03378000;22872053.60000000;1606817699999
1606817700000;0.03377000;0.03385000;0.03370000;0.03378000;16043048.80000000;1606818599999
1606818600000;0.03379000;0.03380000;0.03362000;0.03369000;13669750.60000000;1606819499999
1606819500000;0.03369000;0.03378000;0.03363000;0.03369000;12138381.70000000;1606820399999
1606820400000;0.03369000;0.03391000;0.03368000;0.03375000;18986088.70000000;1606821299999
1606821300000;0.03375000;0.03375000;0.03204000;0.03244000;123644430.80000000;1606822199999
1606822200000;0.03244000;0.03271000;0.03214000;0.03258000;89874931.60000000;1606823099999
1606823100000;0.03260000;0.03279000;0.03237000;0.03249000;45928797.00000000;1606823999999
1606824000000;0.03246000;0.03261000;0.03209000;0.03218000;52538724.70000000;1606824899999
1606824900000;0.03220000;0.03223000;0.02920000;0.02975000;160903050.70000000;1606825799999
1606825800000;0.02971000;0.03068000;0.02927000;0.03049000;129758398.20000000;1606826699999
1606826700000;0.03048000;0.03073000;0.02971000;0.02993000;131940193.90000000;1606827599999
1606827600000;0.02994000;0.03016000;0.02937000;0.02982000;99751181.00000000;1606828499999
1606828500000;0.02978000;0.03060000;0.02960000;0.03049000;69225993.00000000;1606829399999
1606829400000;0.03049000;0.03096000;0.03037000;0.03093000;35569429.10000000;1606830299999
1606830300000;0.03093000;0.03094000;0.03066000;0.03081000;30039992.90000000;1606831199999
1606831200000;0.03082000;0.03093000;0.03047000;0.03093000;24310163.00000000;1606832099999
1606832100000;0.03091000;0.03099000;0.03076000;0.03078000;20493429.60000000;1606832999999
1606833000000;0.03078000;0.03154000;0.03073000;0.03150000;49662507.90000000;1606833899999
1606833900000;0.03151000;0.03165000;0.03125000;0.03146000;35962249.00000000;1606834799999
1606834800000;0.03145000;0.03180000;0.03128000;0.03160000;39385617.00000000;1606835699999
1606835700000;0.03160000;0.03161000;0.03129000;0.03148000;26855494.50000000;1606836599999
1606836600000;0.03148000;0.03148000;0.03104000;0.03105000;22436167.10000000;1606837499999
1606837500000;0.03105000;0.03143000;0.03089000;0.03136000;34952623.60000000;1606838399999
1606838400000;0.03138000;0.03156000;0.03070000;0.03076000;50177664.60000000;1606839299999
1606839300000;0.03077000;0.03082000;0.03026000;0.03034000;54310641.60000000;1606840199999
1606840200000;0.03037000;0.03077000;0.03034000;0.03067000;17419420.60000000;1606841099999
1606841100000;0.03067000;0.03073000;0.03045000;0.03054000;11432872.20000000;1606841999999
1606842000000;0.03054000;0.03066000;0.03002000;0.03037000;41002143.10000000;1606842899999
1606842900000;0.03038000;0.03061000;0.03026000;0.03056000;17362947.60000000;1606843799999
1606843800000;0.03057000;0.03060000;0.03040000;0.03045000;12118612.60000000;1606844699999
1606844700000;0.03045000;0.03076000;0.03033000;0.03074000;14905413.50000000;1606845599999
1606845600000;0.03074000;0.03075000;0.03043000;0.03048000;10202677.30000000;1606846499999
1606846500000;0.03048000;0.03055000;0.03031000;0.03040000;9772805.60000000;1606847399999
1606847400000;0.03039000;0.03060000;0.03035000;0.03049000;6196206.60000000;1606848299999
1606848300000;0.03049000;0.03049000;0.03005000;0.03027000;26176927.90000000;1606849199999
1606849200000;0.03026000;0.03066000;0.03023000;0.03060000;11515433.00000000;1606850099999
1606850100000;0.03060000;0.03068000;0.03052000;0.03063000;9062094.50000000;1606850999999
1606851000000;0.03064000;0.03075000;0.03049000;0.03055000;11440262.50000000;1606851899999
1606851900000;0.03053000;0.03076000;0.03053000;0.03072000;6361668.80000000;1606852799999
1606852800000;0.03072000;0.03079000;0.03059000;0.03062000;6658778.60000000;1606853699999
1606853700000;0.03062000;0.03070000;0.03056000;0.03069000;3832925.40000000;1606854599999
1606854600000;0.03069000;0.03069000;0.03046000;0.03057000;5484883.00000000;1606855499999
1606855500000;0.03058000;0.03067000;0.03049000;0.03063000;3883556.40000000;1606856399999
1606856400000;0.03062000;0.03087000;0.03060000;0.03083000;7212874.70000000;1606857299999
1606857300000;0.03084000;0.03104000;0.03084000;0.03103000;6700988.90000000;1606858199999
1606858200000;0.03102000;0.03103000;0.03082000;0.03092000;8525836.90000000;1606859099999
1606859100000;0.03091000;0.03092000;0.03075000;0.03078000;5345112.10000000;1606859999999
1606860000000;0.03078000;0.03107000;0.03078000;0.03101000;6120484.00000000;1606860899999
1606860900000;0.03103000;0.03111000;0.03096000;0.03096000;4055784.50000000;1606861799999
1606861800000;0.03096000;0.03099000;0.03060000;0.03068000;8346701.90000000;1606862699999
1606862700000;0.03067000;0.03070000;0.03043000;0.03046000;6919471.10000000;1606863599999
1606863600000;0.03047000;0.03053000;0.03023000;0.03036000;7462902.70000000;1606864499999
1606864500000;0.03036000;0.03040000;0.03015000;0.03015000;9860061.90000000;1606865399999
1606865400000;0.03016000;0.03033000;0.03007000;0.03025000;13456912.90000000;1606866299999
1606866300000;0.03025000;0.03033000;0.03019000;0.03024000;7688117.90000000;1606867199999
1606867200000;0.03026000;0.03026000;0.02970000;0.03005000;34026666.50000000;1606868099999
1606868100000;0.03005000;0.03032000;0.02997000;0.03028000;13232854.40000000;1606868999999
1606869000000;0.03030000;0.03045000;0.03029000;0.03043000;7721663.30000000;1606869899999
1606869900000;0.03041000;0.03047000;0.03036000;0.03045000;5642218.00000000;1606870799999
1606870800000;0.03045000;0.03047000;0.03031000;0.03031000;6650915.20000000;1606871699999
1606871700000;0.03034000;0.03046000;0.03031000;0.03040000;4746133.20000000;1606872599999
1606872600000;0.03040000;0.03056000;0.03033000;0.03053000;4968108.20000000;1606873499999
1606873500000;0.03054000;0.03059000;0.03052000;0.03058000;4562127.90000000;1606874399999
1606874400000;0.03058000;0.03060000;0.03050000;0.03060000;5059740.90000000;1606875299999
1606875300000;0.03059000;0.03060000;0.03046000;0.03047000;6301188.30000000;1606876199999
1606876200000;0.03047000;0.03050000;0.03037000;0.03041000;6474320.10000000;1606877099999
1606877100000;0.03041000;0.03048000;0.03033000;0.03038000;4415136.60000000;1606877999999
1606878000000;0.03038000;0.03057000;0.03036000;0.03040000;6034576.20000000;1606878899999
1606878900000;0.03040000;0.03041000;0.03021000;0.03023000;8381240.90000000;1606879799999
1606879800000;0.03022000;0.03058000;0.03018000;0.03055000;11515572.90000000;1606880699999
1606880700000;0.03055000;0.03060000;0.03026000;0.03035000;12036903.30000000;1606881599999
1606881600000;0.03035000;0.03047000;0.03010000;0.03010000;17319166.60000000;1606882499999
1606882500000;0.03012000;0.03021000;0.02984000;0.02991000;22040665.10000000;1606883399999
1606883400000;0.02991000;0.03007000;0.02986000;0.03002000;12703129.00000000;1606884299999
1606884300000;0.03005000;0.03017000;0.03001000;0.03016000;5155215.60000000;1606885199999
1606885200000;0.03016000;0.03020000;0.02992000;0.03020000;8396266.70000000;1606886099999
1606886100000;0.03020000;0.03024000;0.02998000;0.03001000;6553181.20000000;1606886999999
1606887000000;0.02999000;0.03018000;0.02992000;0.03017000;10157108.20000000;1606887899999
1606887900000;0.03016000;0.03037000;0.03016000;0.03036000;9066033.30000000;1606888799999
1606888800000;0.03036000;0.03070000;0.03035000;0.03067000;28832155.60000000;1606889699999
1606889700000;0.03067000;0.03084000;0.03060000;0.03073000;16411513.30000000;1606890599999
1606890600000;0.03072000;0.03091000;0.03066000;0.03067000;18901858.40000000;1606891499999
1606891500000;0.03069000;0.03097000;0.03064000;0.03092000;13872414.50000000;1606892399999
1606892400000;0.03092000;0.03105000;0.03081000;0.03090000;10109189.10000000;1606893299999
1606893300000;0.03089000;0.03099000;0.03069000;0.03080000;9839532.50000000;1606894199999
1606894200000;0.03082000;0.03106000;0.03081000;0.03102000;10707652.50000000;1606895099999
1606895100000;0.03103000;0.03111000;0.03084000;0.03107000;19458008.20000000;1606895999999
1606896000000;0.03106000;0.03111000;0.03098000;0.03107000;25031819.30000000;1606896899999
1606896900000;0.03109000;0.03129000;0.03093000;0.03122000;26540548.00000000;1606897799999
1606897800000;0.03124000;0.03130000;0.03111000;0.03122000;11754207.80000000;1606898699999
1606898700000;0.03122000;0.03127000;0.03095000;0.03105000;23224674.90000000;1606899599999
1606899600000;0.03105000;0.03116000;0.03097000;0.03111000;11852713.40000000;1606900499999
1606900500000;0.03111000;0.03130000;0.03106000;0.03122000;9614000.30000000;1606901399999
1606901400000;0.03120000;0.03123000;0.03096000;0.03097000;9686922.30000000;1606902299999
1606902300000;0.03097000;0.03101000;0.03080000;0.03088000;14980520.80000000;1606903199999
1606903200000;0.03089000;0.03106000;0.03081000;0.03085000;8048500.50000000;1606904099999
1606904100000;0.03085000;0.03102000;0.03081000;0.03096000;9415989.80000000;1606904999999
1606905000000;0.03097000;0.03107000;0.03097000;0.03105000;6799127.70000000;1606905899999
1606905900000;0.03105000;0.03112000;0.03098000;0.03105000;5041680.50000000;1606906799999
1606906800000;0.03105000;0.03121000;0.03102000;0.03104000;9460081.60000000;1606907699999
1606907700000;0.03103000;0.03123000;0.03094000;0.03120000;11871462.10000000;1606908599999
1606908600000;0.03120000;0.03130000;0.03111000;0.03115000;9257292.20000000;1606909499999
1606909500000;0.03115000;0.03116000;0.03094000;0.03108000;8748319.50000000;1606910399999
1606910400000;0.03109000;0.03109000;0.03054000;0.03076000;37476951.10000000;1606911299999
1606911300000;0.03077000;0.03084000;0.03071000;0.03082000;13459117.60000000;1606912199999
1606912200000;0.03081000;0.03082000;0.03050000;0.03050000;24830435.30000000;1606913099999
1606913100000;0.03051000;0.03081000;0.03050000;0.03080000;7880133.10000000;1606913999999
1606914000000;0.03080000;0.03092000;0.03075000;0.03088000;8313591.30000000;1606914899999
1606914900000;0.03089000;0.03104000;0.03088000;0.03098000;7293038.10000000;1606915799999
1606915800000;0.03099000;0.03106000;0.03096000;0.03102000;8160487.40000000;1606916699999
1606916700000;0.03102000;0.03104000;0.03095000;0.03097000;9230390.20000000;1606917599999
1606917600000;0.03097000;0.03109000;0.03093000;0.03103000;7011967.90000000;1606918499999
1606918500000;0.03105000;0.03105000;0.03075000;0.03079000;10462265.70000000;1606919399999
1606919400000;0.03078000;0.03084000;0.03068000;0.03071000;8461089.90000000;1606920299999
1606920300000;0.03072000;0.03094000;0.03072000;0.03076000;8105830.40000000;1606921199999
1606921200000;0.03075000;0.03083000;0.03052000;0.03080000;15985513.50000000;1606922099999
1606922100000;0.03080000;0.03085000;0.03070000;0.03071000;7665763.80000000;1606922999999
1606923000000;0.03071000;0.03072000;0.03057000;0.03063000;10172340.00000000;1606923899999
